H,V,C,R,G,B
10RP,1,2,3,1,3
10RP,1,4,4,1,3
10RP,1,6,5,1,3
10RP,1,8,6,0,3
10RP,1,10,8,0,4
10RP,1,12,9,0,4
2.5R,1,2,3,1,2
2.5R,1,4,4,1,2
2.5R,1,6,5,1,3
2.5R,1,8,7,0,3
2.5R,1,10,8,0,3
5R,1,2,3,1,2
5R,1,4,4,1,2
5R,1,6,6,1,2
5R,1,8,7,0,2
5R,1,10,8,0,2
7.5R,1,2,3,1,2
7.5R,1,4,4,1,2
7.5R,1,6,6,1,2
7.5R,1,8,7,0,2
7.5R,1,10,9,0,2
10R,1,2,3,1,2
10R,1,4,5,1,2
10R,1,6,6,1,2
10R,1,8,7,0,1
10R,1,10,9,0,1
2.5YR,1,2,3,1,2
2.5YR,1,4,5,1,1
2.5YR,1,6,6,1,1
2.5YR,1,8,7,0,1
5YR,1,2,3,1,2
5YR,1,4,4,1,1
7.5YR,1,2,3,1,1
10YR,1,2,3,1,1
2.5Y,1,2,3,2,1
5Y,1,2,2,2,1
7.5Y,1,2,2,2,1
10Y,1,2,2,2,1
2.5GY,1,2,2,2,2
5GY,1,2,2,2,2
5GY,1,4,1,2,1
7.5GY,1,2,1,2,2
7.5GY,1,4,1,2,1
10GY,1,2,1,2,2
10GY,1,4,1,2,1
10GY,1,6,0,2,1
2.5G,1,2,1,2,2
2.5G,1,4,0,2,2
2.5G,1,6,0,2,1
2.5G,1,8,0,3,1
5G,1,2,1,2,2
5G,1,4,0,2,2
5G,1,6,0,2,2
7.5G,1,2,1,2,2
7.5G,1,4,0,2,2
7.5G,1,6,0,2,2
10G,1,2,1,2,2
10G,1,4,0,2,2
10G,1,6,0,2,2
2.5BG,1,2,1,2,2
2.5BG,1,4,0,2,3
2.5BG,1,6,0,2,3
2.5BG,1,8,0,3,3
5BG,1,2,1,2,3
5BG,1,4,0,2,3
5BG,1,6,0,2,3
7.5BG,1,2,1,2,3
7.5BG,1,4,0,2,3
7.5BG,1,6,0,2,4
10BG,1,2,1,2,3
10BG,1,4,0,2,4
10BG,1,6,0,2,5
2.5B,1,2,1,2,3
2.5B,1,4,0,2,4
2.5B,1,6,0,2,5
5B,1,2,1,2,3
5B,1,4,0,2,4
5B,1,6,0,2,6
7.5B,1,2,1,2,3
7.5B,1,4,0,2,5
7.5B,1,6,0,2,6
7.5B,1,8,0,2,9
10B,1,2,1,2,3
10B,1,4,0,2,5
10B,1,6,0,2,7
10B,1,8,0,2,9
2.5PB,1,2,1,2,4
2.5PB,1,4,1,2,5
2.5PB,1,6,0,2,7
2.5PB,1,8,0,2,9
5PB,1,2,1,2,4
5PB,1,4,1,2,5
5PB,1,6,0,2,7
5PB,1,8,0,2,9
5PB,1,10,0,1,12
7.5PB,1,2,2,2,4
7.5PB,1,4,1,1,5
7.5PB,1,6,1,1,7
7.5PB,1,8,1,1,9
7.5PB,1,10,1,1,11
7.5PB,1,12,2,1,13
7.5PB,1,14,2,0,15
7.5PB,1,16,2,0,18
7.5PB,1,18,3,0,20
7.5PB,1,20,3,0,23
7.5PB,1,22,3,0,26
7.5PB,1,24,4,0,30
7.5PB,1,26,4,0,34
7.5PB,1,28,5,0,39
7.5PB,1,30,6,0,45
7.5PB,1,32,7,0,53
7.5PB,1,34,8,0,59
7.5PB,1,36,9,0,67
7.5PB,1,38,10,0,76
10PB,1,2,2,2,4
10PB,1,4,2,1,5
10PB,1,6,2,1,6
10PB,1,8,2,1,8
10PB,1,10,3,1,9
10PB,1,12,3,0,11
10PB,1,14,4,0,13
10PB,1,16,4,0,16
10PB,1,18,5,0,18
10PB,1,20,5,0,21
10PB,1,22,6,0,23
10PB,1,24,7,0,27
10PB,1,26,8,0,31
10PB,1,28,9,0,37
10PB,1,30,10,0,43
2.5P,1,2,2,1,4
2.5P,1,4,2,1,5
2.5P,1,6,3,1,6
2.5P,1,8,3,1,7
2.5P,1,10,4,0,8
2.5P,1,12,4,0,10
2.5P,1,14,5,0,12
2.5P,1,16,6,0,14
2.5P,1,18,6,0,16
2.5P,1,20,7,0,18
2.5P,1,22,8,0,21
2.5P,1,24,9,0,24
2.5P,1,26,11,0,28
5P,1,2,2,1,3
5P,1,4,3,1,4
5P,1,6,3,1,5
5P,1,8,4,1,6
5P,1,10,4,0,8
5P,1,12,5,0,9
5P,1,14,6,0,11
5P,1,16,7,0,12
5P,1,18,8,0,14
5P,1,20,9,0,16
5P,1,22,10,0,18
7.5P,1,2,2,1,3
7.5P,1,4,3,1,4
7.5P,1,6,4,1,5
7.5P,1,8,4,1,6
7.5P,1,10,5,0,7
7.5P,1,12,6,0,8
7.5P,1,14,7,0,10
7.5P,1,16,8,0,11
7.5P,1,18,9,0,13
7.5P,1,20,10,0,14
10P,1,2,3,1,3
10P,1,4,3,1,4
10P,1,6,4,1,5
10P,1,8,5,0,6
10P,1,10,5,0,7
10P,1,12,6,0,8
10P,1,14,8,0,9
10P,1,16,9,0,10
10P,1,18,10,0,12
2.5RP,1,2,3,1,3
2.5RP,1,4,3,1,4
2.5RP,1,6,4,1,4
2.5RP,1,8,5,0,5
2.5RP,1,10,6,0,6
2.5RP,1,12,7,0,7
2.5RP,1,14,8,0,8
2.5RP,1,16,9,0,9
5RP,1,2,3,1,3
5RP,1,4,4,1,3
5RP,1,6,5,1,4
5RP,1,8,6,0,4
5RP,1,10,7,0,5
5RP,1,12,8,0,6
5RP,1,14,9,0,7
7.5RP,1,2,3,1,3
7.5RP,1,4,4,1,3
7.5RP,1,6,5,1,3
7.5RP,1,8,6,0,4
7.5RP,1,10,7,0,4
7.5RP,1,12,9,0,5
10RP,2,2,6,3,5
10RP,2,4,8,2,5
10RP,2,6,10,2,6
10RP,2,8,12,1,6
10RP,2,10,15,0,6
10RP,2,12,18,0,6
10RP,2,14,21,0,7
2.5R,2,2,6,3,5
2.5R,2,4,8,2,5
2.5R,2,6,10,2,5
2.5R,2,8,13,1,5
2.5R,2,10,15,0,5
2.5R,2,12,19,0,5
2.5R,2,14,22,0,5
5R,2,2,6,3,5
5R,2,4,8,2,4
5R,2,6,10,2,4
5R,2,8,13,1,4
5R,2,10,16,0,4
5R,2,12,19,0,4
5R,2,14,23,0,4
7.5R,2,2,6,3,5
7.5R,2,4,8,2,4
7.5R,2,6,11,2,4
7.5R,2,8,13,1,3
7.5R,2,10,16,0,3
7.5R,2,12,19,0,3
7.5R,2,14,23,0,3
10R,2,2,6,3,4
10R,2,4,8,2,4
10R,2,6,10,2,3
10R,2,8,13,1,2
10R,2,10,16,0,2
10R,2,12,19,0,2
10R,2,14,22,0,2
2.5YR,2,2,6,3,4
2.5YR,2,4,8,2,3
2.5YR,2,6,10,2,2
2.5YR,2,8,12,1,2
5YR,2,2,6,3,4
5YR,2,4,8,3,3
5YR,2,6,9,2,2
7.5YR,2,2,6,3,4
7.5YR,2,4,7,3,2
7.5YR,2,6,9,2,2
10YR,2,2,5,3,4
10YR,2,4,7,3,2
2.5Y,2,2,5,3,3
2.5Y,2,4,6,3,2
5Y,2,2,5,3,3
5Y,2,4,5,3,2
7.5Y,2,2,4,4,3
7.5Y,2,4,5,4,2
10Y,2,2,4,4,4
10Y,2,4,4,4,2
2.5GY,2,2,4,4,4
2.5GY,2,4,4,4,2
5GY,2,2,3,4,4
5GY,2,4,3,4,3
5GY,2,6,2,4,1
7.5GY,2,2,3,4,4
7.5GY,2,4,2,4,3
7.5GY,2,6,1,5,2
7.5GY,2,8,1,5,1
10GY,2,2,3,4,4
10GY,2,4,2,4,3
10GY,2,6,1,5,3
10GY,2,8,0,5,2
10GY,2,10,0,5,2
10GY,2,12,0,6,1
2.5G,2,2,3,4,5
2.5G,2,4,1,4,4
2.5G,2,6,0,5,3
2.5G,2,8,0,5,3
2.5G,2,10,0,5,3
2.5G,2,12,0,6,2
2.5G,2,14,0,6,2
